index;Project url;Language;Contributors;OSE;BCE;PDE;SV;OS;SD;RS;TFS;UI;TC;CommitCount;DaysActive;FirstCommitDate;LastCommitDate;commitCentrality_Community Count;commitCentrality_TFN;commitCentrality_TFC;commitCentrality_CommunityAuthorCount_count;commitCentrality_CommunityAuthorCount_mean;commitCentrality_CommunityAuthorCount_stdev;commitCentrality_CommunityAuthorItemCount_count;commitCentrality_CommunityAuthorItemCount_mean;commitCentrality_CommunityAuthorItemCount_stdev;Issues_TFN;Issues_TFC;Issues_CommunityAuthorCount_count;Issues_CommunityAuthorCount_mean;Issues_CommunityAuthorCount_stdev;Issues_CommunityAuthorItemCount_count;Issues_CommunityAuthorItemCount_mean;Issues_CommunityAuthorItemCount_stdev;issuesAndPRsCentrality_TFN;issuesAndPRsCentrality_TFC;issuesAndPRsCentrality_CommunityAuthorCount_count;issuesAndPRsCentrality_CommunityAuthorCount_mean;issuesAndPRsCentrality_CommunityAuthorCount_stdev;issuesAndPRsCentrality_CommunityAuthorItemCount_count;issuesAndPRsCentrality_CommunityAuthorItemCount_mean;issuesAndPRsCentrality_CommunityAuthorItemCount_stdev;BusFactorNumber;SponsoredTFC;ExperiencedTFC
5;https://github.com/hdinsight/spark-eventhubs;Scala;39;1;1;1;1;1;1;1;1;0;0;375;2446;04/09/2015;17/05/2022;6;43;0;6;7.166.666.666.666.660;49.966.655.548.141.900;6;62.5;6.255.477.599.672.140;254;0;32;79.375;16.380.431.874.254.600;32;20;5.595.678.055.716.370;280;0;31;903.225.806.451.613;17.660.660.370.755.700;31;41.064.516.129.032.200;11.853.858.316.567.100;1;6.4;8.613.333.333.333.330
6;https://github.com/mdsol/mauth-java-client;Scala;40;1;1;0;0;1;1;0;1;1;1;557;3649;09/07/2012;06/07/2022;6;46;2.980.251.346.499.100;6;7.833.333.333.333.330;5.671.566.509.057.850;6;9.283.333.333.333.330;11.011.887.516.074.000;0;100;1;4;;1;4;;56;21.026.894.865.525.600;6;9.5;5.890.670.590.009.250;6;6.816.666.666.666.660;5.790.480.693.920.550;0.9824561403508771;8.258.527.827.648.110;7.432.675.044.883.300
7;https://github.com/CERT-BDF/TheHive;Scala;40;1;1;1;1;0;1;0;1;0;1;1532;2056;03/11/2016;22/06/2022;3;37;8.439.947.780.678.850;3;13.333.333.333.333.300;4.509.249.752.822.890;3;5.106.666.666.666.660;7.151.344.861.865.720;953;39.871.772.656.385.300;74;12.905.405.405.405.400;4.364.494.633.109.710;74;7.798.648.648.648.640;33.012.710.268.088.000;976;3.997.367.988.155.940;77;127.012.987.012.987;4.528.159.406.921.400;77;7.894.805.194.805.190;3.471.876.822.981.710;0.9969325153374233;7.637.075.718.015.660;8.955.613.577.023.490
8;https://github.com/typesafehub/sbteclipse;Scala;41;0;1;1;0;0;1;1;1;0;0;338;3880;22/11/2011;08/07/2022;8;42;0;8;5.25;4.496.029.994.816.060;8;42.25;4.660.395.446.127.470;297;0;44;6.75;1.728.169.484.582.410;44;14.772.727.272.727.200;51.567.911.257.474.500;326;0;43;75.813.953.488.372.000;20.888.858.454.459.700;43;21.697.674.418.604.600;8.484.622.922.387.600;1;9.763.313.609.467.450;801.775.147.928.994
9;https://github.com/doriordan/skuber;Scala;42;0;0;1;1;0;1;0;0;0;0;449;2401;12/07/2015;07/02/2022;4;51;6.815.144.766.146.990;4;13.25;4.031.128.874.149.270;4;112.25;10.527.226.605.331.500;89;3.894.736.842.105.260;21;4.285.714.285.714.280;6.596.535.887.440.140;21;13.571.428.571.428.500;33.859.373.042.883.400;123;46.330.275.229.357.700;18;6.888.888.888.888.880;12.947.354.437.417.100;18;36.333.333.333.333.300;999.529.300.985.925;0.9838709677419355;8.240.534.521.158.120;819.599.109.131.403
10;https://github.com/hdinsight/spark-eventhubs;Scala;39;1;1;1;1;1;1;1;1;0;0;375;2446;04/09/2015;17/05/2022;6;43;0;6;7.166.666.666.666.660;49.966.655.548.141.900;6;62.5;6.255.477.599.672.140;254;0;32;79.375;16.380.431.874.254.600;32;20;5.595.678.055.716.370;280;0;30;9.333.333.333.333.330;18.811.832.910.996.800;30;4.246.666.666.666.660;12.115.812.789.088.000;1;6.4;8.613.333.333.333.330
11;https://github.com/scalacenter/scastie;Scala;40;1;0;1;1;0;1;0;0;1;0;1562;3744;29/03/2012;30/06/2022;4;42;8.629.961.587.708.060;4;11;8.831.760.866.327.840;4;390.5;4.263.961.381.938.940;153;3.376.623.376.623.370;18;8.555.555.555.555.550;14.496.337.152.869.700;18;4.277.777.777.777.770;9.454.383.082.841.740;168;32.475.083.056.478.400;18;938.888.888.888.889;15.636.077.772.401.000;18;6.688.888.888.888.880;13.456.242.325.268.200;0.9881656804733728;2.176.696.542.893.720;9.244.558.258.642.760
12;https://github.com/typelevel/squants;Scala;38;0;1;1;1;0;1;1;0;1;0;804;2972;06/03/2014;25/04/2022;6;61;21.890.547.263.681.500;6;10.333.333.333.333.300;11.994.443.157.840.400;6;134;19.038.067.128.781.700;82;2.280.130.293.159.600;11;7.545.454.545.454.540;901.513.878.277.685;11;2.790.909.090.909.090;37.471.201.062.828.300;116;4.618.149.146.451.030;11;10.727.272.727.272.700;14.608.839.167.373.300;11;10.118.181.818.181.800;16.682.375.021.669.900;0.9915254237288136;4.228.855.721.393.030;8.768.656.716.417.910
13;https://github.com/SpongePowered/Ore;Scala;38;0;0;1;1;0;1;0;1;0;1;1554;1205;01/03/2016;19/06/2019;3;25;29.857.512.953.367.800;3;11;3;3;5.146.666.666.666.660;3.453.727.454.987.340;125;23.948.220.064.724.900;7;18.142.857.142.857.100;17.506.461.392.188.600;7;22.071.428.571.428.500;22.912.348.510.916.800;128;44.596.800.522.363.600;8;16.5;16.647.608.150.808.200;8;328.875;50.560.584.238.826.000;0.9393939393939394;0.38860103626943004;9.747.409.326.424.870
14;https://github.com/fusesource/jansi;Scala;38;0;1;1;1;1;1;0;1;0;0;469;4713;06/07/2009;02/06/2022;11;43;0;11;3.909.090.909.090.900;4.229.764.661.409.550;11;4.263.636.363.636.360;6.717.927.169.488.030;160;25.142.857.142.857.100;31;5.193.548.387.096.770;9.593.120.294.734.510;31;11.290.322.580.645.100;2.858.693.588.382.290;185;25.523.809.523.809.500;26;7.153.846.153.846.150;14.228.681.759.579.200;26;20.192.307.692.307.600;50.341.250.863.099.700;1;29.850.746.268.656.700;8.763.326.226.012.790
